tweet_id,favorites,retweets,timestamp
838831947270979586,0,11100,Mon Mar 06 19:21:35 +0000 2017
838561493054533637,11017,1345,Mon Mar 06 01:26:54 +0000 2017
838476387338051585,22737,4820,Sun Mar 05 19:48:43 +0000 2017
838201503651401729,0,10168,Sun Mar 05 01:36:26 +0000 2017
838150277551247360,1687,333,Sat Mar 04 22:12:52 +0000 2017
838085839343206401,143,1,Sat Mar 04 17:56:49 +0000 2017
838083903487373313,17787,3167,Sat Mar 04 17:49:08 +0000 2017
837820167694528512,34469,7932,Sat Mar 04 00:21:08 +0000 2017
837482249356513284,3876,444,Fri Mar 03 01:58:22 +0000 2017
837471256429613056,12926,2297,Fri Mar 03 01:14:41 +0000 2017
837110210464448512,16217,2388,Thu Mar 02 01:20:01 +0000 2017
836989968035819520,12890,2307,Wed Mar 01 17:22:13 +0000 2017
836753516572119041,19521,4690,Wed Mar 01 01:42:39 +0000 2017
836677758902222849,12724,2244,Tue Feb 28 20:41:37 +0000 2017
836648853927522308,0,561,Tue Feb 28 18:46:45 +0000 2017
836397794269200385,0,27841,Tue Feb 28 02:09:08 +0000 2017
836380477523124226,14909,3011,Tue Feb 28 01:00:19 +0000 2017
836260088725786625,21545,4341,Mon Feb 27 17:01:56 +0000 2017
836001077879255040,19306,4305,Sun Feb 26 23:52:43 +0000 2017
835685285446955009,0,8220,Sun Feb 26 02:57:52 +0000 2017
835574547218894849,18000,3654,Sat Feb 25 19:37:50 +0000 2017
835536468978302976,0,1721,Sat Feb 25 17:06:32 +0000 2017
835309094223372289,0,21235,Sat Feb 25 02:03:02 +0000 2017
835297930240217089,16669,3050,Sat Feb 25 01:18:40 +0000 2017
835264098648616962,7828,1721,Fri Feb 24 23:04:14 +0000 2017
835246439529840640,2132,73,Fri Feb 24 21:54:03 +0000 2017
835172783151792128,26472,5834,Fri Feb 24 17:01:22 +0000 2017
835152434251116546,22683,3053,Fri Feb 24 15:40:31 +0000 2017
834931633769889797,10948,1669,Fri Feb 24 01:03:08 +0000 2017
834786237630337024,21589,5562,Thu Feb 23 15:25:23 +0000 2017
834574053763584002,13835,2571,Thu Feb 23 01:22:14 +0000 2017
834477809192075265,0,10805,Wed Feb 22 18:59:48 +0000 2017
834458053273591808,9738,1704,Wed Feb 22 17:41:18 +0000 2017
834209720923721728,20875,4828,Wed Feb 22 01:14:30 +0000 2017
834167344700198914,16013,3704,Tue Feb 21 22:26:07 +0000 2017
834089966724603904,10162,2163,Tue Feb 21 17:18:39 +0000 2017
834086379323871233,13225,2234,Tue Feb 21 17:04:24 +0000 2017
833863086058651648,13578,2441,Tue Feb 21 02:17:06 +0000 2017
833826103416520705,18246,3816,Mon Feb 20 23:50:09 +0000 2017
833732339549220864,0,223,Mon Feb 20 17:37:34 +0000 2017
833722901757046785,21052,3275,Mon Feb 20 17:00:04 +0000 2017
833479644947025920,15042,2079,Mon Feb 20 00:53:27 +0000 2017
833124694597443584,20448,4911,Sun Feb 19 01:23:00 +0000 2017
832998151111966721,13450,2233,Sat Feb 18 17:00:10 +0000 2017
832769181346996225,0,39,Sat Feb 18 01:50:19 +0000 2017
832757312314028032,17079,3682,Sat Feb 18 01:03:09 +0000 2017
832682457690300417,12039,2961,Fri Feb 17 20:05:43 +0000 2017
832645525019123713,2969,537,Fri Feb 17 17:38:57 +0000 2017
832636094638288896,16071,2834,Fri Feb 17 17:01:29 +0000 2017
